ID,Band Name,Genre,Country,Spotify Listeners,1st Most Listened In,1st Most Listeners ,2nd Most Listened In,2nd Most Listeners,3rd Most Listened In,3rd Most Listeners,4th Most Listened In,4th Most Listeners,5th Most Listened In,5th Most Listeners
84,Maerer,Black/Doom Metal,Germany,408,"Berlin, Germany",11,"Leipzig, Germany",8,"Dresden, Germany",4,"Bernburg, Germany",4,"Hamburg, Germany",3
85,Nomans Land,Viking Metal,Russia,944,"Mexico City, Mexico",14,"Oslo, Norway",14,"Berlin, Germany",13,"Santiago, Chile",12,"Stockholm, Sweden",11
86,Northland,Folk/Melodic Death,Spain,11092,"Helsinki, Finland",229,"Paris, France",154,"Madrid, Spain",151,"Prague, Czech Republic",140,"Stockholm, Sweden",131
87,Nothgard,Epic Melodic Death,Germany,24166,"Helsinki, Finland",1110,"Hamburg, Germany",332,"Berlin, Germany",330,"Stockholm, Sweden",271,"Munich, Germany",264
88,Orden Ogan,Power Metal,Germany,309844,"Helsinki, Finland",10094,"Stockholm, Sweden",6375,"Prague, Czech Republic",5653,"Hamburg, Germany",4833,"Berlin, Germany",4740
89,Percival,Epic Heavy Metal,Argentina,508,"Warsaw, Poland",31,"Krakow, Poland",15,"Pozan, Poland",14,"Prague, Czech Republic",11,"Wroclaw, Poland",11
90,Phönix,Historic Metal,Germany,21488,"Berlin, Germany",2555,"Leipzig, Germany",1457,"Hamburg, Germany",1280,"Frankfurt, Germany",684,"Munich, Germany",657
91,Powerwolf,Power Metal,Germany,1264665,"Helsinki, Finland",31884,"Berlin, Germany",27908,"Hamburg, Germany",27275,"Prague, Czech Republic",27257,"London, United Kingdom",21275
92,Prima Nocta,Neo Folk,Belgium,21382,"Mexico City, Mexico",722,"Paris, France",568,"Santiago, Chile",459,"Brussels, Belgium",445,"Madrid, Spain",309
93,Rebellion,Heavy/Power Metal,Germany,55411,"Helsinki, Finland",1232,"Prague, Czech Republic",1226,"Stockholm, Sweden",766,"Warsaw, Poland",766,"Berlin, Germany",763
94,Rúnahild,Folk,Norway,32442,"Berlin, Germany",350,"London, United Kingdom",350,"Warsaw, Poland",346,"Istanbul, Turkey",340,"Paris, France",331
95,Sabaton,Power Metal/Historic Metal,Sweden,2653268,"Stockholm, Sweden",106415,"Helsinki, Finland",99344,"Oslo, Norway",46830,"London, United Kingdom",45534,"Prague, Czech Republic",44856
96,Skjaldar,Pagan Metal,Germany,36,"Hamburg, Germany",3,"Berlin, Germany",3,"Essen, Germany",2,"Romanshorn, Switzerland",1,"Poznan, Poland",1
97,Stormwarrior,Power Metal,Germany,46772,"Stockholm, Sweden",1102,"Helsinki, Finland",847,"Prague, Czech Republic",769,"Santiago, Chile",717,"Hamburg, Germany",476
98,Stratovarius,Melodic Power Metal,Finland,924680,"Helsinki, Finland",53137,"Santiago, Chile",47069,"Mexico City, Mexico",32639,"Bogota, Colombia",19317,"Sao Paulo, Brazil",18660
99,Svartsot,Folk Metal,Denmark,17894,"Helsinki, Finland",548,"Stockholm, Sweden",436,"Copenhagen, Denmark",396,"Oslo, Norway",319,"Berlin, Germany",294
100,The Declawed,Melodic Death Metal,Finland,6,"Helsinki, Finland",7,"Kotka, Finland",2,"Stockholm, Sweden",1,"Nokia, Finland",1,"Espoo, Finland",1
101,Thrudvangar,Viking Black Metal,Germany,2968,"Berlin, Germany",130,"Hamburg, Germany",98,"Leipzig, Germany",65,"Frankfurt, Germany",62,"Munich, Germany",58
102,Týr,Folk Metal,Denmark/Faroe Islands,210517,"Helsinki, Finland",2832,"London, United Kingdom",2641,"Stockholm, Sweden",2635,"Oslo, Norway",2067,"Sao Paulo, Brazil",
103,Valhalore,Epic Folk/Viking Metal,Australia,27633,"Helsinki, Finland",879,"Stockholm, Sweden",371,"Prague, Czech Republic",348,"Warsaw, Poland",346,"London, United Kingdom",318
104,Valonkantajat,Melodic Heavy Metal,Finland,5531,"Helsinki, Finland",3028,"Tampere, Finland",336,"Turku, Finland",240,"Oulu, Finland",182,"Espoo, Finland",64
105,Vanir,Viking/Folk Metal,Denmark,29631,"Helsinki, Finland",540,"Stockholm, Sweden",505,"Prague, Czech Republic",404,"Warsaw, Poland",377,"Berlin, Germany",354
106,Varg,Melodic Death Metal,Germany,31819,"Berlin, Germany",1946,"Hamburg, Germany",1560,"Munich, Germany",1126,"Frankfurt, Germany",954,"Vienna, Austria",889
107,Véhémence,Epic/Melodic Black Metal,France,5833,"Paris, France",172,"Helsinki, Finland",145,"Stockholm, Sweden",65,"London, United Kingdom",62,"Istanbul, Turkey",61
108,Waldgeflüster,Black Metal,Germany,4883,"Berlin, Germany",241,"Munich, Germany",156,"Vienna, Austria",153,"Hamburg, Germany",124,"Leipzig, Germany",121
109,Wardruna,Folk/Euro Ethnic,Norway,547033,"London, United Kingdom",9624,"Istanbul, Turkey",9423,"Paris, France",9232,"Warsaw, Poland",8822,"Oslo, Norway",8789
110,Warkings,Power Metal,Germany/Austria/Switzerland,137649,"Helsinki, Finland",2663,"Prague, Czech Republic",2571,"Berlin, Germany",2505,"Hamburg, Germany",2283,"Munich, Germany",1992
111,Warlock,Heavy Metal,Germany,460805,"Helsinki, Finland",8623,"Stockholm, Sweden",7362,"Hamburg, Germany",5174,"Prague, Czech Republic",4915,"Berlin, Germany",4763
112,Waylander,Celtic Folk Metal,United Kingdom,12019,"Santiago, Chile",158,"Helsinki, Finland",146,"London, United Kingdom",124,"Stockholm, Sweden",124,"Paris, France",110
113,Wilderun,Symphonic Progressive/Folk Metal,United States,16485,"Helsinki, Finland",414,"Oslo, Norway",257,"London, United Kingdom",256,"Stockholm, Sweden",211,"Amsterdam, Netherlands",207
114,Winterstorm,Power/Folk Metal,Germany,15331,"Berlin, Germany",360,"Helsinki, Finland",334,"Hamburg, Germany",372,"Prague, Czech Republic",248,"Munich, Germany",227
115,Wintersun,Symphonic Melodic Death Metal,Finland,220141,"Helsinki, Finland",14128,"Stockholm, Sweden",3471,"Santiago, Chile",2822,"Oslo, Norway",2776,"London, United Kingdom",2268
116,Wisdom,Power Metal,Hungary,28285,"Helsinki, Finland",717,"Budapest, Hungary",660,"Prague, Czech Republic",567,"Stockholm, Sweden",529,"Warsaw, Poland",299
117,Wizard,Epic Power Metal,Germany,15840,"Stockholm, Sweden",255,"Santiago, Chile",205,"Sao Paulo, Brazil",195,"Helsinki, Finland",195,"Prague, Czech Republic",185
118,Wolfchant,Pagan/Folk Metal,Germany,22649,"Helsinki, Finland",402,"Berlin, Germany",358,"Hamburg, Germnay",307,"Santiago, Chile",266,"Munich, Germnay",260
119,Wolfheart,Melodic Death Metal,Finland,68001,"Helsinki, Finland",4930,"Stockholm, Sweden",692,"Tampere, Finland",631,"Oslo, Norway",599,"Istanbul, Turkey",518
120,Wulfgar,Melodic Death Metal,Finland,3251,"Mexico City, Mexico",82,"Santiago, Chile",52,"Stockholm, Sweden",45,"Helsinki, Finland",40,"Istanbul, Turkey",38
121,Übermensch,Metalcore/Historic Metal,Germany,30936,"Berlin, Germany",4452,"Leipzig, Germany",2754,"Hamburg, Germany",2158,"Frankfurt, Germany",1293,"Munich, Germany",1272
122,Bathory,Death Metal,Sweden,199769,"Istanbul, Turkey",4131,"Santiago, Chile",4020,"Helsinki, Finland",3793,"Sao Paulo, Brazil",3758,"Mexico City, Mexico",3411
123,Darkthrone,Black Metal,Norway,291143,"Helsinki, Finland",7109,"Oslo, Norway",6800,"Santiago, Chile",4627,"London, United Kingdom",4159,"Stockholm, Sweden",3878
124,Einar Selvik,Folk,Norway,180073,"Istanbul, Turkey",3528,"London, United Kingdom",2978,"Paris, France",2561,"Warsaw, Poland",2650,"Berlin, Germany",2163
125,Thyrfing,Viking Black Metal,Sweden,17036,"Stockholm, Sweden",669,"Helsinki, Finland",611,"Oslo, Norway",296,"Gottenburg, Sweden",251,"Santiago, Chile",190
